id,embedding_type,architecture,binary,epochs,sigmoidize,aucs_l2_norm,time,eps_u_0.01_m,eps_s_0.01_m,eps_u_0.1_m,eps_s_0.1_m,eps_u_0.4_m,eps_s_0.4_m
14,,fashion_mnist_mlp,lid,50,False,None,76.95042419433594,0.6807999999999998,0.73632,0.70888,0.7328319999999999,0.8898719999999999,0.897024
21,,fashion_mnist_mlp,mahalanobis,50,False,None,8424.356384038925,0.537232,0.603152,0.6741759999999999,0.734056,0.921808,0.952144
4,PersistentDiagram,fashion_mnist_mlp,ocsvm_detector,50,True,None,2686.2997789382935,0.56368,0.750752,0.54704,0.717312,0.814336,0.951504
29,PersistentDiagram,fashion_mnist_mlp,ocsvm_detector,50,True,None,1912.171264410019,0.56368,0.750752,0.54704,0.717312,0.814336,0.951504
5,RawGraph,fashion_mnist_mlp,ocsvm_detector,50,True,None,3238.4281532764435,0.7550399999999999,0.8470639999999999,0.826368,0.8975040000000001,0.893648,0.875616
30,RawGraph,fashion_mnist_mlp,ocsvm_detector,50,True,None,2107.697494983673,0.7550399999999999,0.8470639999999999,0.826368,0.8975040000000001,0.893648,0.875616
13,,mnist_lenet,lid,50,False,None,82.14299631118774,0.8298840579710145,0.8900289855072464,0.79172,0.893296,0.8536159999999999,0.927408
20,,mnist_lenet,mahalanobis,50,False,None,3858.8743991851807,0.7386666666666666,0.8216231884057972,0.6638320000000001,0.758688,0.9931760000000001,0.999184
2,PersistentDiagram,mnist_lenet,ocsvm_detector,50,False,None,960.9544067382812,0.9463768115942028,0.9802318840579711,0.989584,0.99856,0.9968159999999999,0.999968
27,PersistentDiagram,mnist_lenet,ocsvm_detector,50,True,None,2219.5080273151398,0.9444057971014492,0.9464347826086956,0.987392,0.9977119999999999,0.9969439999999999,0.999952
3,RawGraph,mnist_lenet,ocsvm_detector,50,False,None,3696.6286051273346,0.4308985507246377,0.6707246376811594,0.323392,0.9261119999999999,0.244352,1.0
28,RawGraph,mnist_lenet,ocsvm_detector,50,True,None,3762.087286710739,0.9192463768115943,1.0,0.984784,1.0,0.997408,1.0
12,,simple_fcn_mnist,lid,50,False,None,73.15749931335449,0.737744,0.78272,0.675064,0.69992,0.956752,0.9764480000000001
19,,simple_fcn_mnist,mahalanobis,50,False,None,4077.0714490413666,0.513448,0.550848,0.6424000000000001,0.8244479999999998,0.996048,0.99496
0,PersistentDiagram,simple_fcn_mnist,ocsvm_detector,50,True,None,1376.8871064186096,0.510128,0.609872,0.7192639999999999,0.9136799999999999,0.99736,0.99912
25,PersistentDiagram,simple_fcn_mnist,ocsvm_detector,50,True,None,1397.9667768478394,0.510128,0.609872,0.7192639999999999,0.9136799999999999,0.99736,0.99912
1,RawGraph,simple_fcn_mnist,ocsvm_detector,50,True,None,3596.6701242923737,0.986992,0.9846079999999999,0.996816,0.994624,0.999408,0.998464
26,RawGraph,simple_fcn_mnist,ocsvm_detector,50,True,None,2857.25546503067,0.986992,0.9846079999999999,0.996816,0.994624,0.999408,0.998464
15,,fashion_mnist_lenet,lid,200,False,None,57.71731352806091,0.651856,0.678496,0.7484400000000001,0.789952,0.982864,0.988048
22,,fashion_mnist_lenet,mahalanobis,200,False,None,5209.599258899689,0.542304,0.569616,0.6592,0.7060639999999999,0.985328,0.9959520000000001
6,PersistentDiagram,fashion_mnist_lenet,ocsvm_detector,200,False,None,1444.9065437316895,0.98528,0.97976,0.9865759999999999,0.985056,0.987728,0.9993599999999999
31,PersistentDiagram,fashion_mnist_lenet,ocsvm_detector,200,True,None,2416.926565885544,0.98656,0.979872,0.9863679999999999,0.982608,0.987584,0.999504
7,RawGraph,fashion_mnist_lenet,ocsvm_detector,200,False,None,3416.26026058197,0.38092799999999993,0.6968800000000002,0.44323199999999996,0.813104,0.9142399999999999,0.998144
32,RawGraph,fashion_mnist_lenet,ocsvm_detector,200,True,None,4243.090633153915,0.7315039999999999,0.8541920000000001,0.8549120000000001,0.914304,0.933808,0.97912
17,,svhn_lenet_bandw2,lid,200,False,None,459.82850408554077,0.558304,0.6,0.918624,0.930336,0.9995999999999999,0.999856
16,,svhn_lenet,lid,250,False,None,101.16156363487244,0.5571520000000001,0.6645120000000001,0.943776,0.95712,0.999648,0.9994879999999999
23,,svhn_lenet,mahalanobis,250,False,None,7430.626310825348,0.535296,0.592496,0.8415040000000001,0.935344,0.93336,0.992144
8,PersistentDiagram,svhn_lenet,ocsvm_detector,250,False,None,2208.5974802970886,0.5,0.5751839999999999,0.84928,0.937408,0.999888,0.999728
33,PersistentDiagram,svhn_lenet,ocsvm_detector,250,True,None,3653.4113562107086,0.511968,0.5831040000000001,0.8639519999999998,0.939904,0.99984,0.99984
9,RawGraph,svhn_lenet,ocsvm_detector,250,False,None,7612.683630943298,0.4715039999999999,0.618352,0.86048,0.991632,0.9996959999999999,0.9999359999999999
34,RawGraph,svhn_lenet,ocsvm_detector,250,True,None,5510.787327528,0.396832,0.555344,0.645232,0.9618239999999999,0.9985120000000001,0.999904
18,,cifar_lenet,lid,300,False,None,55.99280834197998,0.544928,0.569376,0.792208,0.851008,0.9997119999999999,0.999856
24,,cifar_lenet,mahalanobis,300,False,None,6584.419592142105,0.5171520000000001,0.50384,0.826864,0.850688,0.997936,0.99776
10,PersistentDiagram,cifar_lenet,ocsvm_detector,300,False,None,1142.0339167118073,0.5,0.5357999999999999,0.749808,0.76576,0.989424,0.989648
35,PersistentDiagram,cifar_lenet,ocsvm_detector,300,True,None,1532.2896809577942,0.5,0.572752,0.759472,0.768416,0.986064,0.989216
11,RawGraph,cifar_lenet,ocsvm_detector,300,False,None,3384.7663855552673,0.432624,0.561216,0.8139679999999999,0.8657759999999999,0.993392,0.99744
36,RawGraph,cifar_lenet,ocsvm_detector,300,True,None,2956.4068534374237,0.466792,0.510432,0.731248,0.6728479999999999,0.9697119999999999,0.9198240000000001
